"sample_id" "condition" "gene_name" "gene_usage_count"
"1N_S15" "N" "IGHV4-4" 83
"1N_S15" "N" "IGHV4-59" 585
"1N_S15" "N" "IGHV4-61" 107
"1N_S15" "N" "IGHV5-10-1" 69
"1N_S15" "N" "IGHV5-51" 138
"1N_S15" "N" "IGHV6-1" 29
"1N_S15" "N" "IGHV7-4-1" 185
"21B_S12" "B" "IGHV1-18" 247
"21B_S12" "B" "IGHV1-2" 243
"21B_S12" "B" "IGHV1-24" 53
"21B_S12" "B" "IGHV1-3" 52
"21B_S12" "B" "IGHV1-46" 90
"21B_S12" "B" "IGHV1-58" 5
"21B_S12" "B" "IGHV1-69" 141
"21B_S12" "B" "IGHV1-8" 326
"21B_S12" "B" "IGHV1/OR15-2" 1
"21B_S12" "B" "IGHV2-26" 12
"21B_S12" "B" "IGHV2-5" 41
"21B_S12" "B" "IGHV2-70" 10
"21B_S12" "B" "IGHV3-11" 229
"21B_S12" "B" "IGHV3-13" 49
"21B_S12" "B" "IGHV3-15" 292
"21B_S12" "B" "IGHV3-19" 12
"21B_S12" "B" "IGHV3-20" 35
"21B_S12" "B" "IGHV3-21" 275
"21B_S12" "B" "IGHV3-23" 1006
"21B_S12" "B" "IGHV3-30" 538
"21B_S12" "B" "IGHV3-30-3" 96
"21B_S12" "B" "IGHV3-33" 723
"21B_S12" "B" "IGHV3-35" 10
"21B_S12" "B" "IGHV3-41" 2
"21B_S12" "B" "IGHV3-43" 13
"21B_S12" "B" "IGHV3-43D" 11
"21B_S12" "B" "IGHV3-48" 315
"21B_S12" "B" "IGHV3-49" 45
"21B_S12" "B" "IGHV3-53" 137
"21B_S12" "B" "IGHV3-64" 29
"21B_S12" "B" "IGHV3-66" 58
"21B_S12" "B" "IGHV3-69-1" 4
"21B_S12" "B" "IGHV3-7" 364
"21B_S12" "B" "IGHV3-72" 48
"21B_S12" "B" "IGHV3-73" 79
"21B_S12" "B" "IGHV3-74" 175
"21B_S12" "B" "IGHV3-9" 460
"21B_S12" "B" "IGHV3-NL1" 6
"21B_S12" "B" "IGHV4-28" 20
"21B_S12" "B" "IGHV4-30-2" 40
"21B_S12" "B" "IGHV4-30-4" 5
"21B_S12" "B" "IGHV4-31" 164
"21B_S12" "B" "IGHV4-34" 546
"21B_S12" "B" "IGHV4-38-2" 202
"21B_S12" "B" "IGHV4-39" 551
"21B_S12" "B" "IGHV4-4" 301
"21B_S12" "B" "IGHV4-59" 591
"21B_S12" "B" "IGHV4-61" 474
"21B_S12" "B" "IGHV4/OR15-8" 3
"21B_S12" "B" "IGHV5-10-1" 3
"21B_S12" "B" "IGHV5-51" 308
"21B_S12" "B" "IGHV6-1" 70
"24B_S13" "B" "IGHV1-18" 248
"24B_S13" "B" "IGHV1-2" 182
"24B_S13" "B" "IGHV1-24" 63
"24B_S13" "B" "IGHV1-3" 96
"24B_S13" "B" "IGHV1-46" 121
"24B_S13" "B" "IGHV1-58" 15
"24B_S13" "B" "IGHV1-69" 174
"24B_S13" "B" "IGHV1-69-2" 3
"24B_S13" "B" "IGHV1-8" 74
"24B_S13" "B" "IGHV2-26" 12
"24B_S13" "B" "IGHV2-5" 56
"24B_S13" "B" "IGHV2-70" 24
"24B_S13" "B" "IGHV3-11" 166
"24B_S13" "B" "IGHV3-13" 39
"24B_S13" "B" "IGHV3-15" 276
"24B_S13" "B" "IGHV3-19" 5
"24B_S13" "B" "IGHV3-20" 25
"24B_S13" "B" "IGHV3-21" 465
"24B_S13" "B" "IGHV3-22" 1
"24B_S13" "B" "IGHV3-23" 1268
"24B_S13" "B" "IGHV3-30" 912
"24B_S13" "B" "IGHV3-30-3" 358
"24B_S13" "B" "IGHV3-33" 456
"24B_S13" "B" "IGHV3-35" 3
"24B_S13" "B" "IGHV3-43" 25
"24B_S13" "B" "IGHV3-48" 352
"24B_S13" "B" "IGHV3-49" 45
"24B_S13" "B" "IGHV3-52" 2
"24B_S13" "B" "IGHV3-53" 138
"24B_S13" "B" "IGHV3-64" 11
"24B_S13" "B" "IGHV3-64D" 12
"24B_S13" "B" "IGHV3-66" 56
"24B_S13" "B" "IGHV3-69-1" 10
"24B_S13" "B" "IGHV3-7" 405
"24B_S13" "B" "IGHV3-72" 64
"24B_S13" "B" "IGHV3-73" 40
"24B_S13" "B" "IGHV3-74" 241
"24B_S13" "B" "IGHV3-9" 211
"24B_S13" "B" "IGHV3-NL1" 6
"24B_S13" "B" "IGHV4-30-2" 46
"24B_S13" "B" "IGHV4-30-4" 133
"24B_S13" "B" "IGHV4-31" 145
"24B_S13" "B" "IGHV4-34" 294
"24B_S13" "B" "IGHV4-38-2" 2
"24B_S13" "B" "IGHV4-39" 689
"24B_S13" "B" "IGHV4-4" 177
"24B_S13" "B" "IGHV4-59" 544
"24B_S13" "B" "IGHV4-61" 265
"24B_S13" "B" "IGHV5-10-1" 24
"24B_S13" "B" "IGHV5-51" 143
"24B_S13" "B" "IGHV6-1" 62
"24B_S13" "B" "IGHV7-4-1" 39
"2N_S16" "N" "IGHV1-18" 138
"2N_S16" "N" "IGHV1-2" 316
"2N_S16" "N" "IGHV1-24" 33
"2N_S16" "N" "IGHV1-3" 102
"2N_S16" "N" "IGHV1-46" 41
"2N_S16" "N" "IGHV1-58" 1
"2N_S16" "N" "IGHV1-68" 1
"2N_S16" "N" "IGHV1-69" 242
"2N_S16" "N" "IGHV1-8" 104
"2N_S16" "N" "IGHV2-26" 8
"2N_S16" "N" "IGHV2-5" 23
"2N_S16" "N" "IGHV2-70" 2
"2N_S16" "N" "IGHV3-11" 460
"2N_S16" "N" "IGHV3-13" 136
"2N_S16" "N" "IGHV3-15" 213
"2N_S16" "N" "IGHV3-19" 1
"2N_S16" "N" "IGHV3-20" 87
"2N_S16" "N" "IGHV3-21" 393
"2N_S16" "N" "IGHV3-22" 2
"2N_S16" "N" "IGHV3-23" 717
"2N_S16" "N" "IGHV3-30" 573
"2N_S16" "N" "IGHV3-30-3" 4
"2N_S16" "N" "IGHV3-33" 388
"2N_S16" "N" "IGHV3-43" 73
"2N_S16" "N" "IGHV3-43D" 1
"2N_S16" "N" "IGHV3-47" 33
"2N_S16" "N" "IGHV3-48" 491
"2N_S16" "N" "IGHV3-49" 93
"2N_S16" "N" "IGHV3-53" 130
"2N_S16" "N" "IGHV3-64" 13
"2N_S16" "N" "IGHV3-64D" 3
"2N_S16" "N" "IGHV3-66" 26
"2N_S16" "N" "IGHV3-69-1" 18
"2N_S16" "N" "IGHV3-7" 346
"2N_S16" "N" "IGHV3-71" 1
"2N_S16" "N" "IGHV3-72" 61
"2N_S16" "N" "IGHV3-73" 89
"2N_S16" "N" "IGHV3-74" 386
"2N_S16" "N" "IGHV3-9" 265
"2N_S16" "N" "IGHV3-NL1" 1
"2N_S16" "N" "IGHV3/OR16-10" 1
"2N_S16" "N" "IGHV4-28" 12
"2N_S16" "N" "IGHV4-30-2" 60
"2N_S16" "N" "IGHV4-30-4" 8
"2N_S16" "N" "IGHV4-31" 215
"2N_S16" "N" "IGHV4-34" 233
"2N_S16" "N" "IGHV4-38-2" 249
"2N_S16" "N" "IGHV4-39" 356
"2N_S16" "N" "IGHV4-4" 171
"2N_S16" "N" "IGHV4-59" 828
"2N_S16" "N" "IGHV4-61" 263
"2N_S16" "N" "IGHV5-10-1" 23
"2N_S16" "N" "IGHV5-51" 52
"2N_S16" "N" "IGHV6-1" 25
"2N_S16" "N" "IGHV7-4-1" 53
"30B_S14" "B" "IGHV1-18" 267
"30B_S14" "B" "IGHV1-2" 165
"30B_S14" "B" "IGHV1-24" 78
"30B_S14" "B" "IGHV1-3" 207
"30B_S14" "B" "IGHV1-45" 28
"30B_S14" "B" "IGHV1-46" 106
"30B_S14" "B" "IGHV1-58" 6
"30B_S14" "B" "IGHV1-69" 431
"30B_S14" "B" "IGHV1-8" 2
"30B_S14" "B" "IGHV2-26" 4
"30B_S14" "B" "IGHV2-5" 18
"30B_S14" "B" "IGHV2-70" 10
"30B_S14" "B" "IGHV3-11" 243
"30B_S14" "B" "IGHV3-13" 24
"30B_S14" "B" "IGHV3-15" 178
"30B_S14" "B" "IGHV3-20" 33
"30B_S14" "B" "IGHV3-21" 567
"30B_S14" "B" "IGHV3-22" 1
"30B_S14" "B" "IGHV3-23" 946
