"sample_id" "condition" "gene_name" "gene_usage_count"
"C9" "C" "TRBV12-5" 3256.99999999955
"MS1" "MS" "TRBV12-5" 541.999999999775
"MS10" "MS" "TRBV12-5" 1601.99999999968
"MS11" "MS" "TRBV12-5" 1957.99999999934
"MS12" "MS" "TRBV12-5" 813.999999999544
"MS13" "MS" "TRBV12-5" 459.999999999684
"MS2" "MS" "TRBV12-5" 406.999999999688
"MS3" "MS" "TRBV12-5" 860.999999999653
"MS4" "MS" "TRBV12-5" 526.999999999507
"MS5" "MS" "TRBV12-5" 861.999999999607
"MS6" "MS" "TRBV12-5" 625.999999999761
"MS7" "MS" "TRBV12-5" 976.999999999709
"MS8" "MS" "TRBV12-5" 1338.99999999962
"MS9" "MS" "TRBV12-5" 1036.99999999956
"C1" "C" "TRBV13" 4020.99999999926
"C10" "C" "TRBV13" 865.999999999309
"C11" "C" "TRBV13" 1774.99999999947
"C2" "C" "TRBV13" 3240.99999999915
"C3" "C" "TRBV13" 7309.99999999904
"C4" "C" "TRBV13" 3745.99999999934
"C5" "C" "TRBV13" 5586.99999999899
"C6" "C" "TRBV13" 2645.99999999931
"C7" "C" "TRBV13" 4284.99999999925
"C8" "C" "TRBV13" 2189.99999999943
"C9" "C" "TRBV13" 4582.99999999936
"MS1" "MS" "TRBV13" 1085.99999999955
"MS10" "MS" "TRBV13" 2210.99999999956
"MS11" "MS" "TRBV13" 1039.99999999965
"MS12" "MS" "TRBV13" 1360.99999999924
"MS13" "MS" "TRBV13" 956.999999999343
"MS2" "MS" "TRBV13" 679.99999999948
"MS3" "MS" "TRBV13" 1242.9999999995
"MS4" "MS" "TRBV13" 559.999999999477
"MS5" "MS" "TRBV13" 1340.99999999939
"MS6" "MS" "TRBV13" 1645.99999999937
"MS7" "MS" "TRBV13" 2162.99999999936
"MS8" "MS" "TRBV13" 2628.99999999925
"MS9" "MS" "TRBV13" 1329.99999999944
"C1" "C" "TRBV14" 5590.99999999897
"C10" "C" "TRBV14" 1142.99999999909
"C11" "C" "TRBV14" 3360.999999999
"C2" "C" "TRBV14" 5250.99999999862
"C3" "C" "TRBV14" 8139.99999999893
"C4" "C" "TRBV14" 6220.9999999989
"C5" "C" "TRBV14" 6206.99999999888
"C6" "C" "TRBV14" 4267.99999999889
"C7" "C" "TRBV14" 6463.99999999887
"C8" "C" "TRBV14" 3777.99999999902
"C9" "C" "TRBV14" 6032.99999999916
"MS1" "MS" "TRBV14" 1326.99999999945
"MS10" "MS" "TRBV14" 3561.9999999993
"MS11" "MS" "TRBV14" 2250.99999999925
"MS12" "MS" "TRBV14" 2349.99999999868
"MS13" "MS" "TRBV14" 2054.99999999859
"MS2" "MS" "TRBV14" 1493.99999999886
"MS3" "MS" "TRBV14" 1120.99999999955
"MS4" "MS" "TRBV14" 1262.99999999882
"MS5" "MS" "TRBV14" 1248.99999999943
"MS6" "MS" "TRBV14" 769.999999999705
"MS7" "MS" "TRBV14" 2397.99999999928
"MS8" "MS" "TRBV14" 1909.99999999945
"MS9" "MS" "TRBV14" 1470.99999999938
"C1" "C" "TRBV15" 8484.99999999843
"C10" "C" "TRBV15" 2670.99999999787
"C11" "C" "TRBV15" 5592.99999999834
"C2" "C" "TRBV15" 7050.99999999815
"C3" "C" "TRBV15" 10866.9999999986
"C4" "C" "TRBV15" 9572.9999999983
"C5" "C" "TRBV15" 8248.99999999851
"C6" "C" "TRBV15" 5628.99999999854
"C7" "C" "TRBV15" 5410.99999999905
"C8" "C" "TRBV15" 5727.99999999851
"C9" "C" "TRBV15" 9547.99999999868
"MS1" "MS" "TRBV15" 4513.99999999813
"MS10" "MS" "TRBV15" 9211.99999999819
"MS11" "MS" "TRBV15" 6789.99999999772
"MS12" "MS" "TRBV15" 3429.99999999808
"MS13" "MS" "TRBV15" 2869.99999999803
"MS2" "MS" "TRBV15" 2500.99999999809
"MS3" "MS" "TRBV15" 3918.99999999842
"MS4" "MS" "TRBV15" 1989.99999999814
"MS5" "MS" "TRBV15" 3442.99999999843
"MS6" "MS" "TRBV15" 2553.99999999902
"MS7" "MS" "TRBV15" 6499.99999999806
"MS8" "MS" "TRBV15" 8548.99999999755
"MS9" "MS" "TRBV15" 4603.99999999805
"C1" "C" "TRBV16" 775.999999999856
"C10" "C" "TRBV16" 146.999999999883
"C11" "C" "TRBV16" 356.999999999894
"C2" "C" "TRBV16" 503.999999999868
"C3" "C" "TRBV16" 960.999999999874
"C4" "C" "TRBV16" 811.999999999856
"C5" "C" "TRBV16" 651.999999999882
"C6" "C" "TRBV16" 580.999999999849
"C7" "C" "TRBV16" 658.999999999884
"C8" "C" "TRBV16" 445.999999999884
"C9" "C" "TRBV16" 775.999999999892
"MS1" "MS" "TRBV16" 160.999999999933
"MS10" "MS" "TRBV16" 436.999999999914
"MS11" "MS" "TRBV16" 181.999999999939
"MS12" "MS" "TRBV16" 196.99999999989
"MS13" "MS" "TRBV16" 155.999999999893
"MS2" "MS" "TRBV16" 140.999999999892
"MS3" "MS" "TRBV16" 137.999999999944
"MS4" "MS" "TRBV16" 109.999999999897
"MS5" "MS" "TRBV16" 179.999999999918
"MS6" "MS" "TRBV16" 145.999999999944
"MS7" "MS" "TRBV16" 296.999999999911
"MS8" "MS" "TRBV16" 270.999999999922
"MS9" "MS" "TRBV16" 204.999999999913
"C1" "C" "TRBV18" 10308.9999999981
"C10" "C" "TRBV18" 1014.99999999919
"C11" "C" "TRBV18" 3234.99999999904
"C2" "C" "TRBV18" 7120.99999999813
"C3" "C" "TRBV18" 8439.99999999889
"C4" "C" "TRBV18" 10874.9999999981
"C5" "C" "TRBV18" 6953.99999999874
"C6" "C" "TRBV18" 6439.99999999833
"C7" "C" "TRBV18" 5894.99999999897
"C8" "C" "TRBV18" 4406.99999999885
"C9" "C" "TRBV18" 8922.99999999876
"MS1" "MS" "TRBV18" 2409.999999999
"MS10" "MS" "TRBV18" 6399.99999999874
"MS11" "MS" "TRBV18" 3387.99999999886
"MS12" "MS" "TRBV18" 3434.99999999808
"MS13" "MS" "TRBV18" 2658.99999999818
"MS2" "MS" "TRBV18" 2704.99999999793
"MS3" "MS" "TRBV18" 2144.99999999913
"MS4" "MS" "TRBV18" 1881.99999999824
"MS5" "MS" "TRBV18" 2872.99999999869
"MS6" "MS" "TRBV18" 1383.99999999947
"MS7" "MS" "TRBV18" 4761.99999999858
"MS8" "MS" "TRBV18" 3007.99999999914
"MS9" "MS" "TRBV18" 3242.99999999863
"C1" "C" "TRBV19" 5808.99999999892
"C10" "C" "TRBV19" 365.999999999708
"C11" "C" "TRBV19" 889.999999999736
"C2" "C" "TRBV19" 5471.99999999856
"C3" "C" "TRBV19" 9051.99999999881
"C4" "C" "TRBV19" 6582.99999999883
"C5" "C" "TRBV19" 6472.99999999883
"C6" "C" "TRBV19" 4827.99999999875
"C7" "C" "TRBV19" 3394.99999999941
"C8" "C" "TRBV19" 1322.99999999966
"C9" "C" "TRBV19" 4012.99999999944
"MS1" "MS" "TRBV19" 922.999999999617
"MS10" "MS" "TRBV19" 2393.99999999953
"MS11" "MS" "TRBV19" 974.999999999673
"MS12" "MS" "TRBV19" 1824.99999999898
"MS13" "MS" "TRBV19" 2205.99999999849
"MS2" "MS" "TRBV19" 1141.99999999913
"MS3" "MS" "TRBV19" 935.999999999622
"MS4" "MS" "TRBV19" 1172.9999999989
"MS5" "MS" "TRBV19" 999.999999999544
"MS6" "MS" "TRBV19" 820.999999999686
"MS7" "MS" "TRBV19" 1842.99999999945
"MS8" "MS" "TRBV19" 1580.99999999955
"MS9" "MS" "TRBV19" 1032.99999999956
"C1" "C" "TRBV2" 22023.9999999959
"C10" "C" "TRBV2" 3339.99999999733
"C11" "C" "TRBV2" 7537.99999999776
"C2" "C" "TRBV2" 12392.9999999967
"C3" "C" "TRBV2" 21405.9999999972
"C4" "C" "TRBV2" 15585.9999999972
"C5" "C" "TRBV2" 16519.999999997
"C6" "C" "TRBV2" 10338.9999999973
"C7" "C" "TRBV2" 17987.9999999968
"C8" "C" "TRBV2" 11959.9999999969
"C9" "C" "TRBV2" 17894.9999999975
"MS1" "MS" "TRBV2" 3537.99999999853
"MS10" "MS" "TRBV2" 10838.9999999979
"MS11" "MS" "TRBV2" 5783.99999999806
"MS12" "MS" "TRBV2" 4313.99999999758
"MS13" "MS" "TRBV2" 4319.99999999704
"MS2" "MS" "TRBV2" 3906.99999999701
"MS3" "MS" "TRBV2" 4735.99999999809
"MS4" "MS" "TRBV2" 2475.99999999769
"MS5" "MS" "TRBV2" 4168.9999999981
"MS6" "MS" "TRBV2" 4152.99999999841
"MS7" "MS" "TRBV2" 7319.99999999782
"MS8" "MS" "TRBV2" 5238.9999999985
"MS9" "MS" "TRBV2" 3858.99999999837
"C1" "C" "TRBV20-1" 43367.999999992
"C10" "C" "TRBV20-1" 12434.9999999901
"C11" "C" "TRBV20-1" 34180.9999999899
"C2" "C" "TRBV20-1" 32981.9999999913
"C3" "C" "TRBV20-1" 62460.9999999918
"C4" "C" "TRBV20-1" 48358.9999999914
"C5" "C" "TRBV20-1" 43129.9999999922
"C6" "C" "TRBV20-1" 32813.9999999915
"C7" "C" "TRBV20-1" 69640.9999999878
"C8" "C" "TRBV20-1" 38699.9999999899
"C9" "C" "TRBV20-1" 79162.999999989
"MS1" "MS" "TRBV20-1" 30205.9999999875
"MS10" "MS" "TRBV20-1" 69556.9999999863
"MS11" "MS" "TRBV20-1" 38869.999999987
"MS12" "MS" "TRBV20-1" 24093.9999999865
"MS13" "MS" "TRBV20-1" 16083.999999989
"MS2" "MS" "TRBV20-1" 15921.9999999878
"MS3" "MS" "TRBV20-1" 27430.9999999889
"MS4" "MS" "TRBV20-1" 10625.9999999901
"MS5" "MS" "TRBV20-1" 20760.9999999905
"MS6" "MS" "TRBV20-1" 24649.9999999906
"MS7" "MS" "TRBV20-1" 43179.9999999871
"MS8" "MS" "TRBV20-1" 41595.9999999881
"MS9" "MS" "TRBV20-1" 25322.9999999893
"C1" "C" "TRBV21-1" 5213.99999999904
"C10" "C" "TRBV21-1" 1473.99999999882
"C11" "C" "TRBV21-1" 4036.9999999988
"C2" "C" "TRBV21-1" 5176.99999999864
"C3" "C" "TRBV21-1" 7638.999999999
"C4" "C" "TRBV21-1" 6444.99999999886
"C5" "C" "TRBV21-1" 6634.9999999988
"C6" "C" "TRBV21-1" 4711.99999999878
"C7" "C" "TRBV21-1" 6195.99999999891
"C8" "C" "TRBV21-1" 5573.99999999855
"C9" "C" "TRBV21-1" 8479.99999999882
"MS1" "MS" "TRBV21-1" 1431.99999999941
"MS10" "MS" "TRBV21-1" 2455.99999999952
"MS11" "MS" "TRBV21-1" 1916.99999999936
"MS12" "MS" "TRBV21-1" 2182.99999999878
"MS13" "MS" "TRBV21-1" 1309.9999999991
"MS2" "MS" "TRBV21-1" 1351.99999999897
"MS3" "MS" "TRBV21-1" 1486.9999999994
"MS4" "MS" "TRBV21-1" 884.999999999173
"MS5" "MS" "TRBV21-1" 1034.99999999953
"MS6" "MS" "TRBV21-1" 1187.99999999955
"MS7" "MS" "TRBV21-1" 1850.99999999945
"MS8" "MS" "TRBV21-1" 1539.99999999956
"MS9" "MS" "TRBV21-1" 1155.99999999951
"C1" "C" "TRBV23-1" 962.999999999822
"C10" "C" "TRBV23-1" 74.9999999999401
"C11" "C" "TRBV23-1" 69.9999999999792
"C2" "C" "TRBV23-1" 803.999999999789
"C3" "C" "TRBV23-1" 941.999999999877
"C4" "C" "TRBV23-1" 818.999999999855
"C5" "C" "TRBV23-1" 822.999999999851
"C6" "C" "TRBV23-1" 768.999999999801
"C7" "C" "TRBV23-1" 246.999999999957
"C8" "C" "TRBV23-1" 209.999999999945
"C9" "C" "TRBV23-1" 590.999999999918
"MS1" "MS" "TRBV23-1" 61.9999999999743
"MS10" "MS" "TRBV23-1" 148.999999999971
