"sample_id" "condition" "gene_name" "gene_usage_count"
"HD5" "healthy" "IGHV2-70D" 7
"HD5" "healthy" "IGHV1-8" 32
"HD5" "healthy" "IGHV6-1" 55
"HD5" "healthy" "IGHV3-15" 134
"HD5" "healthy" "IGHV2-26" 10
"HD5" "healthy" "IGHV4-55" 0
"HD5" "healthy" "IGHV7-81" 0
"HD5" "healthy" "IGHV3-20" 4
"HD5" "healthy" "IGHV4/OR15-8" 0
"HD5" "healthy" "IGHV4-34" 49
"HD5" "healthy" "IGHV3-21" 92
"HD5" "healthy" "IGHV5-10-1" 27
"HD5" "healthy" "IGHV3-11" 95
"HD5" "healthy" "IGHV1-NL1" 0
"HD5" "healthy" "IGHV3-64" 4
"HD5" "healthy" "IGHV1/OR15-4" 0
"HD5" "healthy" "IGHV4-4" 52
"HD5" "healthy" "IGHV3-64D" 13
"HD5" "healthy" "IGHV3-30-3" 67
"HD5" "healthy" "IGHV3-66" 23
"HD5" "healthy" "IGHV3-69-1" 5
"HD5" "healthy" "IGHV4-59" 132
"HD5" "healthy" "IGHV2-70" 5
"HD5" "healthy" "IGHV3-7" 201
"HD5" "healthy" "IGHV1-3" 33
"HD5" "healthy" "IGHV3-38-3" 0
"HD5" "healthy" "IGHV3-22" 0
"HD5" "healthy" "IGHV3-72" 58
"HD5" "healthy" "IGHV3-13" 17
"HD5" "healthy" "IGHV1-58" 4
"HD5" "healthy" "IGHV3-73" 40
"HD5" "healthy" "IGHV1-68" 0
"HD5" "healthy" "IGHV4-30-2" 6
"HD5" "healthy" "IGHV2-5" 33
"HD5" "healthy" "IGHV3-33" 160
"HD5" "healthy" "IGHV3-48" 149
"HD5" "healthy" "IGHV3-NL1" 0
"HD5" "healthy" "IGHV4-61" 147
"HD5" "healthy" "IGHV4-38-2" 50
"HD5" "healthy" "IGHV3-71" 0
"HD5" "healthy" "IGHV5-51" 92
"HD5" "healthy" "IGHV3-43" 3
"HD5" "healthy" "IGHV1/OR15-1" 0
"HD5" "healthy" "IGHV4-28" 1
"HD5" "healthy" "IGHV3-43D" 7
"HD5" "healthy" "IGHV1-18" 86
"HD5" "healthy" "IGHV3-47" 0
"HD5" "healthy" "IGHV3-9" 71
"HD5" "healthy" "IGHV1-24" 12
"HD5" "healthy" "IGHV1-69-2" 0
"HD5" "healthy" "IGHV3-35" 0
"HD5" "healthy" "IGHV3-49" 29
"HD5" "healthy" "IGHV3/OR16-10" 0
"HD5" "healthy" "IGHV1-45" 0
"HD5" "healthy" "IGHV4-39" 63
"HD5" "healthy" "IGHV3-23" 406
"HD5" "healthy" "IGHV1-46" 43
"HD5" "healthy" "IGHV4-30-4" 16
"HD5" "healthy" "IGHV3-30" 272
"HD5" "healthy" "IGHV3-74" 147
"HD5" "healthy" "IGHV1-69" 58
"HD5" "healthy" "IGHV3-38" 0
"HD5" "healthy" "IGHV3-52" 1
"HD5" "healthy" "IGHV4-31" 69
"HD5" "healthy" "IGHV1-2" 75
"HD5" "healthy" "IGHV3/OR16-8" 0
"HD6" "healthy" "IGHV2-70D" 8
"HD6" "healthy" "IGHV3-7" 179
"HD6" "healthy" "IGHV3-20" 2
"HD6" "healthy" "IGHV3-11" 57
"HD6" "healthy" "IGHV3-19" 0
"HD6" "healthy" "IGHV7-4-1" 0
"HD6" "healthy" "IGHV1-18" 109
"HD6" "healthy" "IGHV3-48" 120
"HD6" "healthy" "IGHV7-81" 0
"HD6" "healthy" "IGHV4-34" 101
"HD6" "healthy" "IGHV4/OR15-8" 5
"HD6" "healthy" "IGHV3-53" 107
"HD6" "healthy" "IGHV3-38-3" 0
"HD6" "healthy" "IGHV5-10-1" 38
"HD6" "healthy" "IGHV3-64" 1
"HD6" "healthy" "IGHV3-13" 19
"HD6" "healthy" "IGHV1/OR15-4" 0
"HD6" "healthy" "IGHV3-64D" 18
"HD6" "healthy" "IGHV1-2" 98
"HD6" "healthy" "IGHV3-69-1" 2
"HD6" "healthy" "IGHV1-24" 13
"HD6" "healthy" "IGHV3-33" 125
"HD6" "healthy" "IGHV1-8" 16
"HD6" "healthy" "IGHV3-21" 95
"HD6" "healthy" "IGHV3-NL1" 0
"HD6" "healthy" "IGHV3-71" 0
"HD6" "healthy" "IGHV3-22" 0
"HD6" "healthy" "IGHV1-58" 4
"HD6" "healthy" "IGHV3-43" 24
"HD6" "healthy" "IGHV5-51" 118
"HD6" "healthy" "IGHV1-68" 0
"HD6" "healthy" "IGHV2-26" 9
"HD6" "healthy" "IGHV4-55" 0
"HD6" "healthy" "IGHV3-66" 0
"HD6" "healthy" "IGHV2-5" 40
"HD6" "healthy" "IGHV1-69-2" 1
"HD6" "healthy" "IGHV3-49" 58
"HD6" "healthy" "IGHV4-61" 73
"HD6" "healthy" "IGHV4-38-2" 59
"HD6" "healthy" "IGHV3-52" 0
"HD6" "healthy" "IGHV3/OR16-10" 0
"HD6" "healthy" "IGHV3-72" 50
"HD6" "healthy" "IGHV3-23" 459
"HD6" "healthy" "IGHV4-4" 65
"HD6" "healthy" "IGHV3-15" 118
"HD6" "healthy" "IGHV4-30-2" 19
"HD6" "healthy" "IGHV1-69" 96
"HD6" "healthy" "IGHV3-47" 0
"HD6" "healthy" "IGHV4-59" 147
"HD6" "healthy" "IGHV1-3" 43
"HD6" "healthy" "IGHV3-35" 0
"HD6" "healthy" "IGHV1-NL1" 0
"HD6" "healthy" "IGHV1-45" 0
"HD6" "healthy" "IGHV3-38" 0
"HD6" "healthy" "IGHV4-39" 121
"HD6" "healthy" "IGHV1-46" 62
"HD6" "healthy" "IGHV4-28" 0
"HD6" "healthy" "IGHV3-43D" 1
"HD6" "healthy" "IGHV6-1" 38
"HD6" "healthy" "IGHV3-30-3" 4
"HD6" "healthy" "IGHV3-74" 109
"HD6" "healthy" "IGHV4-30-4" 1
"HD6" "healthy" "IGHV3-9" 79
"HD6" "healthy" "IGHV2-70" 15
"HD6" "healthy" "IGHV4-31" 11
"HD6" "healthy" "IGHV3/OR16-8" 0
"HD6" "healthy" "IGHV3-73" 17
"HD6" "healthy" "IGHV1/OR15-1" 0
"HD6" "healthy" "IGHV3-30" 233
"HD7" "healthy" "IGHV4-30-2" 25
"HD7" "healthy" "IGHV1-3" 3
"HD7" "healthy" "IGHV1-8" 56
"HD7" "healthy" "IGHV6-1" 59
"HD7" "healthy" "IGHV5-10-1" 0
"HD7" "healthy" "IGHV3-21" 168
"HD7" "healthy" "IGHV2-5" 90
"HD7" "healthy" "IGHV2-26" 14
"HD7" "healthy" "IGHV1-45" 1
"HD7" "healthy" "IGHV2-70" 8
"HD7" "healthy" "IGHV3-38-3" 0
"HD7" "healthy" "IGHV1-NL1" 0
"HD7" "healthy" "IGHV3-43D" 3
"HD7" "healthy" "IGHV1-18" 148
"HD7" "healthy" "IGHV1/OR15-1" 0
"HD7" "healthy" "IGHV3-48" 243
"HD7" "healthy" "IGHV4-30-4" 0
"HD7" "healthy" "IGHV3-33" 170
"HD7" "healthy" "IGHV3-49" 51
"HD7" "healthy" "IGHV4-31" 69
"HD7" "healthy" "IGHV3-22" 2
"HD7" "healthy" "IGHV2-70D" 5
"HD7" "healthy" "IGHV3-43" 5
"HD7" "healthy" "IGHV3-23" 686
